seed,experiment_name,feature_groups,feature_count,selected_threshold,accuracy,precision,recall,f1,macro_f1,false_positive_rate,specificity,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,constant_recall,random_recall,replay_recall,topic_spoof_recall
42,all_views,value+temporal+protocol,48,0.59,0.9987633501967398,0.9958298582151792,0.995,0.9954147561483953,0.9973500263751528,0.0006497725795971,0.9993502274204028,0.9998815247996536,0.9995420958878236,7690,5,6,1194,1.0,0.98,1.0,1.0
42,value_protocol,value+protocol,39,0.67,0.9951658234963464,0.9824854045037532,0.9816666666666668,0.9820758649437266,0.9896410121937786,0.0027290448343079,0.997270955165692,0.9993246696989386,0.9955660062515428,7674,21,22,1178,1.0,0.9766666666666668,0.95,1.0
42,temporal_protocol,temporal+protocol,19,0.5,0.9660483417650364,1.0,0.7483333333333333,0.8560533841754051,0.9184039543869632,0.0,1.0,0.9199713017110678,0.8416395151724736,7695,0,302,898,0.9933333333333332,0.0,1.0,1.0
42,value_temporal,value+temporal,38,0.64,0.9637998875772906,0.9803063457330417,0.7466666666666667,0.847682119205298,0.9135705824401076,0.0023391812865497,0.9976608187134502,0.9166912497292614,0.8511095506456107,7677,18,304,896,1.0,0.9866666666666668,1.0,0.0
42,value_only,value,29,0.86,0.957504215851602,0.9566666666666668,0.7175,0.82,0.8979541108986615,0.0050682261208577,0.9949317738791424,0.8811610353043102,0.8031187411435332,7656,39,339,861,1.0,0.9366666666666666,0.9333333333333332,0.0
42,temporal_only,temporal,9,0.54,0.932096683530073,0.9966666666666668,0.4983333333333333,0.6644444444444444,0.8133354179695642,0.0002599090318388,0.9997400909681612,0.8139774745505739,0.6586050885804304,7693,2,602,598,0.9933333333333332,0.0,1.0,0.0
42,protocol_only,protocol,10,0.63,0.9245643620011242,0.9025875190258752,0.4941666666666666,0.6386645126548196,0.7982753304502994,0.0083170890188434,0.9916829109811566,0.7023793047433399,0.5830337890964886,7631,64,607,593,0.9766666666666668,0.0,0.0,1.0
43,all_views,value+temporal+protocol,48,0.81,0.9986509274873524,0.9991596638655462,0.9908333333333332,0.994979079497908,0.9970999293593436,0.0001299545159194,0.9998700454840804,0.9999070825211176,0.9996230852220582,7694,1,11,1189,1.0,0.9633333333333334,1.0,1.0
43,temporal_protocol,temporal+protocol,19,0.5,0.9661607644744238,1.0,0.7491666666666666,0.8565983801810386,0.9187077045255456,0.0,1.0,0.9198218540177604,0.8425431902114553,7695,0,301,899,0.9966666666666668,0.0,1.0,1.0
43,value_temporal,value+temporal,38,0.77,0.9634626194491288,0.9802414928649836,0.7441666666666666,0.8460445286594032,0.9126580829405824,0.0023391812865497,0.9976608187134502,0.923429174788824,0.8557452314708686,7677,18,307,893,1.0,0.9766666666666668,1.0,0.0
